Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
YPSILANTI HISTORICAL SOCIETY,YPSILANTI HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,80737
YUBA HISTORIC SOCIETY,YUBA HISTORIC SOCIETY INC,HISTORIC PRESERVATION,MI,4,FALSE,2013,0
ZEELAND HISTORICAL SOCIETY,ZEELAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,MI,4,FALSE,2013,38446
AITKIN COUNTY HISTORICAL SOCIETY,AITKIN COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,42679
ALBERT LEA STORY LADY DOLL & TOY MUSEUM,ALBERT LEA STORY LADY DOLL & TOY MUSEUM INC,GENERAL MUSEUM,MN,4,TRUE,2013,0
AMERICAN MUSEUM OF ASMAT ART,UNIVERSITY OF ST THOMAS,ART MUSEUM,MN,4,TRUE,2013,374129882
AMERICAN WINGS AIR MUSEUM,AMERICAN WINGS AIR MUSEUM,HISTORY MUSEUM,MN,4,TRUE,2013,0
ANOKA COUNTY HISTORICAL SOCIETY,ANOKA COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,261678
ARCHES MUSEUM,WINONA COUNTY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,927036
ARCOLA MILLS HISTORIC FOUNDATION,ARCOLA MILLS HISTORIC FOUNDATION,HISTORIC PRESERVATION,MN,4,FALSE,2013,70491
ARGYLE HISTORICAL SOCIETY,ARGYLE HISTORICAL SOCIETY INCORPORATED,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
ARLINGTON HISTORICAL SOCIETY,ARLINGTON HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,0
ARMED FORCES MUSEUM,ARMED FORCES MUSEUM,HISTORY MUSEUM,MN,4,TRUE,2013,0
ARMORY ARTS AND MUSIC CENTER,ARMORY ARTS AND MUSIC CENTER,GENERAL MUSEUM,MN,4,TRUE,2013,56585
ART FARIBAULT CENTER,FARIBAULT ART CENTER INC,GENERAL MUSEUM,MN,4,TRUE,2013,554494
ART POPE,POPE ART,ART MUSEUM,MN,4,TRUE,2013,0
BAKKEN LIBRARY AND MUSEUM,BAKKEN LIBRARY AND MUSEUM,GENERAL MUSEUM,MN,4,TRUE,2013,1923912
BASILICA LANDMARK,THE BASILICA LANDMARK,HISTORIC PRESERVATION,MN,4,FALSE,2013,2788192
BECKER COUNTY MUSEUM,BECKER COUNTY HISTORICAL SOCIETY,GENERAL MUSEUM,MN,4,TRUE,2013,176930
BELL MUSEUM OF NATURAL HISTORY,BELL MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,MN,4,TRUE,2013,1355777
BELLE PLAINE HISTORICAL SOCIETY,BELLE PLAINE HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,MN,4,FALSE,2013,48138
BELTRAMI COUNTY HISTORICAL SOCIETY,BELTRAMI COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,MN,4,FALSE,2013,93165
